player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
Brad Novak,2,30,0,16,2014,Gannon University
Dylan Bongiorni,1,19,0,19,2014,Gannon University
Brandon Brown-Dukes,2,13,0,9,2014,Gannon University
Drew Robinson,2,10,0,6,2014,Gannon University
Stephen Yarbrough,2,77,1,41,2014,Slippery Rock University
Jaquan Williams,3,67,1,39,2014,Slippery Rock University
Drew Robinson,1,51,0,51,2014,Slippery Rock University
Brandon Brown-Dukes,4,46,1,21,2014,Slippery Rock University
R.J. Miller,5,45,1,16,2014,Slippery Rock University
T.J. Latimer,4,36,0,12,2014,Slippery Rock University
John Matarazzo,2,28,0,20,2014,Slippery Rock University
Donny Holl,2,22,1,16,2014,Slippery Rock University
Dylan Bongiorni,2,19,0,13,2014,Slippery Rock University
Stephen Yarbrough,2,112,2,57,2014,Edinboro University of Pennsylvania
Jaquan Williams,6,91,0,38,2014,Edinboro University of Pennsylvania
R.J. Miller,3,28,0,20,2014,Edinboro University of Pennsylvania
Dylan Bongiorni,2,27,0,19,2014,Edinboro University of Pennsylvania
T.J. Latimer,2,24,0,14,2014,Edinboro University of Pennsylvania
Donny Holl,2,19,0,18,2014,Edinboro University of Pennsylvania
Drew Robinson,1,11,0,11,2014,Edinboro University of Pennsylvania
Brandon Brown-Dukes,1,9,0,9,2014,Edinboro University of Pennsylvania
Jaquan Williams,3,92,0,48,2014,Seton Hill University
T.J. Latimer,2,53,0,35,2014,Seton Hill University
Brad Novak,2,46,0,28,2014,Seton Hill University
John Matarazzo,3,29,1,24,2014,Seton Hill University
R.J. Miller,1,11,1,11,2014,Seton Hill University
Stephen Yarbrough,1,9,0,9,2014,Seton Hill University
Donny Holl,1,9,1,9,2014,Seton Hill University
Brandon Brown-Dukes,1,3,0,3,2014,Seton Hill University
Stephen Yarbrough,12,238,3,54,2014,California University of Pennsylvania
Dylan Bongiorni,3,93,0,35,2014,California University of Pennsylvania
R.J. Miller,6,82,2,21,2014,California University of Pennsylvania
T.J. Latimer,6,51,1,17,2014,California University of Pennsylvania
Drew Robinson,3,32,0,32,2014,California University of Pennsylvania
Brad Novak,2,16,0,15,2014,California University of Pennsylvania
Alex Misterman,2,13,0,12,2014,California University of Pennsylvania
John Matarazzo,1,8,0,8,2014,California University of Pennsylvania
Brandon Brown-Dukes,1,6,0,6,2014,California University of Pennsylvania
Donny Holl,1,5,0,5,2014,California University of Pennsylvania
Stephen Yarbrough,6,165,0,42,2014,Shippensburg University
R.J. Miller,9,90,2,21,2014,Shippensburg University
Jaquan Williams,3,59,0,44,2014,Shippensburg University
Dylan Bongiorni,1,37,1,37,2014,Shippensburg University
Brad Novak,2,20,0,20,2014,Shippensburg University
Pat Barry,1,16,0,16,2014,Shippensburg University
John Matarazzo,1,16,0,16,2014,Shippensburg University
Donny Holl,2,4,2,3,2014,Shippensburg University
Drew Robinson,1,2,0,2,2014,Shippensburg University
FJ Williams,3,93,0,42,2015,Bentley University
Jaquan Williams,4,63,1,37,2015,Bentley University
Drew Robinson,2,56,0,38,2015,Bentley University
Dylan Bongiorni,3,37,0,20,2015,Bentley University
Donny Holl,1,24,0,24,2015,Bentley University
John Matarazzo,2,23,1,16,2015,Bentley University
Brad Novak,1,4,0,4,2015,Bentley University
T.J. Latimer,2,3,1,2,2015,Bentley University
Brandon Brown-Dukes,1,2,0,2,2015,Bentley University
Richie Sanders,1,0,0,0,2015,Bentley University
FJ Williams,9,174,2,34,2015,West Chester University of Pennsylvania
T.J. Latimer,4,61,0,27,2015,West Chester University of Pennsylvania
Dylan Bongiorni,2,59,1,44,2015,West Chester University of Pennsylvania
Richie Sanders,2,20,0,15,2015,West Chester University of Pennsylvania
Donny Holl,2,17,0,10,2015,West Chester University of Pennsylvania
Kyle Briggs,1,1,0,1,2015,West Chester University of Pennsylvania
FJ Williams,5,99,2,42,2015,Bloomsburg University
Jaquan Williams,2,49,0,35,2015,Bloomsburg University
John Matarazzo,2,33,1,19,2015,Bloomsburg University
Richie Sanders,2,26,0,19,2015,Bloomsburg University
T.J. Latimer,1,8,0,8,2015,Bloomsburg University
Brandon Brown-Dukes,3,4,0,7,2015,Bloomsburg University
Dylan Bongiorni,1,3,0,3,2015,Bloomsburg University
FJ Williams,9,146,0,25,2015,Indiana University of Pennsylvania
Jaquan Williams,6,100,1,36,2015,Indiana University of Pennsylvania
Richie Sanders,3,55,0,23,2015,Indiana University of Pennsylvania
Dylan Bongiorni,2,27,0,23,2015,Indiana University of Pennsylvania
T.J. Latimer,2,16,0,12,2015,Indiana University of Pennsylvania
John Matarazzo,2,10,1,7,2015,Indiana University of Pennsylvania
Drew Robinson,1,2,0,2,2015,Indiana University of Pennsylvania
B. Brown-Dukes,1,1,0,1,2015,Indiana University of Pennsylvania
