player,receptions,receiving_yards,receiving_tds,long_reception,year,opponent
"Davis,Chaz",1,4,0,4,2024,Lincoln University
"Pytlak,Russell",1,0,0,0,2024,Lincoln University
"Bernadino,Maddox",0,0,0,0,2024,Lincoln University
"Lattimore,Amare",0,0,0,0,2024,Lincoln University
"Barmore,Cameron",8,129,2,46,2024,Saint Francis University
"Kerbacher,Joe",5,48,0,22,2024,Saint Francis University
"Davison,Rylan",4,28,0,11,2024,Saint Francis University
"Davis,Earnest",1,20,0,20,2024,Saint Francis University
"Davis,Chaz",3,15,0,8,2024,Saint Francis University
"Pytlak,Russell",0,0,0,0,2024,Saint Francis University
"Trobel,Brian",0,0,0,0,2024,Saint Francis University
"Pappas,Mike",0,0,0,0,2024,Saint Francis University
"Evans,Dylan",7,95,1,22,2025,RVYoungstown State
"Davison,Rylan",5,70,0,22,2025,RVYoungstown State
"Van Dyke,Evan",6,44,1,24,2025,RVYoungstown State
"Kerbacher,Joe",4,38,0,16,2025,RVYoungstown State
"Melendez,Colin",2,29,0,27,2025,RVYoungstown State
"Gamble,Jameir",4,18,0,12,2025,RVYoungstown State
"Rodriguez,Ayron",2,12,0,6,2025,RVYoungstown State
"Trobel,Brian",1,4,0,4,2025,RVYoungstown State
"Vazquez,Alejandro",1,1,0,1,2025,RVYoungstown State
"Black,Braydon",0,0,0,0,2025,RVYoungstown State
"Evans,Dylan",7,157,0,35,2025,New Haven
"Vazquez,Alejandro",2,54,0,29,2025,New Haven
"Davison,Rylan",3,42,1,18,2025,New Haven
"Woods,Jason",5,40,0,20,2025,New Haven
"Van Dyke,Evan",2,24,0,15,2025,New Haven
"Black,Braydon",2,22,0,11,2025,New Haven
"Ferguson,Shakile",1,22,0,22,2025,New Haven
"Gamble,Jameir",1,14,0,14,2025,New Haven
"Lewis,Camden",1,3,0,3,2025,New Haven
"Wilson,Ashton",1,1,1,1,2025,New Haven
"Urena,Adam",0,0,0,0,2025,New Haven
"Shields,Chandler",1,0,0,0,2025,New Haven
"Kerbacher,Joe",4,61,0,22,2025,#21Sacramento State
"Davison,Rylan",5,58,1,16,2025,#21Sacramento State
"Evans,Dylan",5,41,1,24,2025,#21Sacramento State
"Wilson,Ashton",3,38,0,14,2025,#21Sacramento State
"Rodriguez,Ayron",4,32,0,20,2025,#21Sacramento State
"Trobel,Brian",2,27,0,23,2025,#21Sacramento State
"Black,Braydon",2,23,0,14,2025,#21Sacramento State
"Melendez,Colin",1,2,0,2,2025,#21Sacramento State
"Vazquez,Alejandro",0,0,0,0,2025,#21Sacramento State
"Mora,Sean",0,0,0,0,2025,#21Sacramento State
"Van Dyke,Evan",1,-2,0,0,2025,#21Sacramento State
"Davison,Rylan",7,84,0,37,2025,#4/5Montana State
"Evans,Dylan",5,36,0,10,2025,#4/5Montana State
"Kerbacher,Joe",4,35,0,14,2025,#4/5Montana State
"Wilson,Ashton",2,19,0,13,2025,#4/5Montana State
"Rodriguez,Ayron",1,8,0,8,2025,#4/5Montana State
"Van Dyke,Evan",2,8,0,8,2025,#4/5Montana State
"Davis,Chaz",1,6,0,6,2025,#4/5Montana State
"Trobel,Brian",1,5,0,5,2025,#4/5Montana State
"Gamble,Jameir",1,4,0,4,2025,#4/5Montana State
"Black,Braydon",0,0,0,0,2025,#4/5Montana State
"Van Dyke,Evan",5,62,1,22,2025,#2South Dakota State
"Evans,Dylan",3,25,0,14,2025,#2South Dakota State
"Black,Braydon",2,13,0,10,2025,#2South Dakota State
"Davison,Rylan",1,10,0,10,2025,#2South Dakota State
"Lewis,Camden",1,2,0,2,2025,#2South Dakota State
"Melendez,Colin",1,1,0,1,2025,#2South Dakota State
"Trobel,Brian",0,0,0,0,2025,#2South Dakota State
"Kerbacher,Joe",0,0,0,0,2025,#2South Dakota State
"Van Dyke,Evan",6,52,1,20,2025,LIU
"Davison,Rylan",2,32,0,16,2025,LIU
"Evans,Dylan",2,20,0,11,2025,LIU
"Wright-Rawls,Taylor",3,19,0,10,2025,LIU
"Kerbacher,Joe",2,17,0,14,2025,LIU
"Melendez,Colin",2,14,0,11,2025,LIU
"Wilson,Ashton",1,14,0,14,2025,LIU
"Lewis,Camden",2,13,0,11,2025,LIU
"Rodriguez,Ayron",2,6,0,8,2025,LIU
"Askew,Jonny",1,5,0,5,2025,LIU
"Black,Braydon",0,0,0,0,2025,LIU
"Woods,Jason",1,-1,0,0,2025,LIU
"Trobel,Brian",2,75,1,76,2025,Wagner
"Van Dyke,Evan",2,38,0,20,2025,Wagner
"Davison,Rylan",3,33,0,16,2025,Wagner
"Black,Braydon",3,24,0,10,2025,Wagner
"Wright-Rawls,Taylor",2,19,0,11,2025,Wagner
"Rodriguez,Ayron",1,2,0,2,2025,Wagner
"Kerbacher,Joe",0,0,0,0,2025,Wagner
"Wilson,Ashton",0,0,0,0,2025,Wagner
"Davison,Rylan",6,48,0,16,2025,Duquesne
"Van Dyke,Evan",3,20,0,10,2025,Duquesne
"Wright-Rawls,Taylor",1,14,0,14,2025,Duquesne
"Kerbacher,Joe",2,11,0,9,2025,Duquesne
"Wilson,Ashton",1,10,0,10,2025,Duquesne
"Rodriguez,Ayron",1,3,0,3,2025,Duquesne
"Melendez,Colin",0,0,0,0,2025,Duquesne
"Black,Braydon",0,0,0,0,2025,Duquesne
"Lewis,Camden",0,0,0,0,2025,Duquesne
"Evans,Dylan",0,0,0,0,2025,Duquesne
"Ferguson,Shakile",0,0,0,0,2025,Duquesne
"Van Dyke,Evan",6,72,0,20,2025,Stonehill
"Davison,Rylan",5,56,0,19,2025,Stonehill
"Wright-Rawls,Taylor",2,29,0,22,2025,Stonehill
"Black,Braydon",2,29,0,22,2025,Stonehill
"Rodriguez,Ayron",3,19,1,21,2025,Stonehill
"Woods,Jason",4,16,0,14,2025,Stonehill
"Kerbacher,Joe",3,14,1,6,2025,Stonehill
"Evans,Dylan",1,12,0,12,2025,Stonehill
"Melendez,Colin",1,7,0,7,2025,Stonehill
"Trobel,Brian",3,7,0,4,2025,Stonehill
"Evans,Dylan",9,138,1,53,2025,Saint Francis
"Kerbacher,Joe",3,41,0,39,2025,Saint Francis
"Davison,Rylan",3,36,0,13,2025,Saint Francis
"Van Dyke,Evan",2,25,0,21,2025,Saint Francis
"Wilson,Ashton",1,6,0,6,2025,Saint Francis
"Black,Braydon",0,0,0,0,2025,Saint Francis
"Shields,Chandler",1,-1,0,0,2025,Saint Francis
"Trobel,Brian",1,-4,0,0,2025,Saint Francis
"Melendez,Colin",2,-7,0,0,2025,Saint Francis
"Evans,Dylan",3,40,0,15,2025,Robert Morris
"Van Dyke,Evan",3,33,0,19,2025,Robert Morris
"Wright-Rawls,Taylor",1,27,0,27,2025,Robert Morris
"Black,Braydon",2,26,0,16,2025,Robert Morris
"Davison,Rylan",1,19,0,19,2025,Robert Morris
"Lewis,Camden",2,19,1,12,2025,Robert Morris
"Kerbacher,Joe",2,16,0,14,2025,Robert Morris
"Melendez,Colin",1,12,0,12,2025,Robert Morris
"Trobel,Brian",1,7,0,7,2025,Robert Morris
"Rodriguez,Ayron",1,4,0,4,2025,Robert Morris
"Wilson,Ashton",2,3,0,2,2025,Robert Morris
"Davison,Rylan",5,94,0,31,2025,Central Connecticut State
"Wright-Rawls,Taylor",4,43,1,16,2025,Central Connecticut State
"Van Dyke,Evan",3,19,0,9,2025,Central Connecticut State
"Trobel,Brian",1,12,0,12,2025,Central Connecticut State
"Lewis,Camden",2,9,0,9,2025,Central Connecticut State
"Evans,Dylan",1,7,0,7,2025,Central Connecticut State
"Melendez,Colin",1,4,0,4,2025,Central Connecticut State
"Rodriguez,Ayron",0,0,0,0,2025,Central Connecticut State
"Kerbacher,Joe",0,0,0,0,2025,Central Connecticut State
"Black,Braydon",0,0,0,0,2025,Central Connecticut State
"Wilson,Ashton",0,0,0,0,2025,Central Connecticut State
