year,opponent,mu_total_first_downs,opp_total_first_downs,mu_rushing_first_downs,opp_rushing_first_downs,mu_passing_first_downs,opp_passing_first_downs,mu_penalty_first_downs,opp_penalty_first_downs,mu_rushing_net,opp_rushing_net,mu_rushing_attempts,opp_rushing_attempts,mu_rushing_tds,opp_rushing_tds,mu_passing_net,opp_passing_net,mu_completions,mu_attempts,mu_passing_ints,opp_completions,opp_attempts,opp_passing_ints,mu_td_passes,opp_td_passes,mu_total_yards,opp_total_yards,mu_plays,opp_plays,mu_fumbles,opp_fumbles,mu_fumbles_lost,opp_fumbles_lost,mu_penalties,opp_penalties,mu_penalty_yards,opp_penalty_yards,mu_punts,opp_punts,mu_punt_yards,opp_punt_yards,mu_punt_avg,opp_punt_avg,mu_punt_returns,opp_punt_returns,mu_punt_return_yards,opp_punt_return_yards,mu_punt_return_tds,opp_punt_return_tds,mu_punt_return_avg,opp_punt_return_avg,mu_kickoff_returns,opp_kickoff_returns,mu_kickoff_return_yards,opp_kickoff_return_yards,mu_kickoff_return_tds,opp_kickoff_return_tds,mu_kickoff_return_avg,opp_kickoff_return_avg,mu_ints,opp_ints,mu_int_return_yards,opp_int_return_yards,mu_int_return_tds,opp_int_return_tds
2014,Clarion University,15,11,3,4,11,6,1,1,63,78,32,38,1,0,241,113,14,26,0,9,29,0,3,0,304,191,58,67,3,0,1,0,9,7,75,39,6,7,214,233,35.666666666666664,33.285714285714285,3,1,34,9,0,0,11.333333333333334,9.0,1,3,22,40,0,0,22.0,13.333333333333334,0,0,0,0,0,0
2014,Gannon University,30,23,8,13,20,8,2,2,162,182,42,31,2,3,446,280,28,44,0,18,36,0,4,2,608,462,86,67,1,0,0,0,12,6,85,65,3,4,109,163,36.333333333333336,40.75,3,1,23,4,0,0,7.666666666666667,4.0,5,5,75,95,0,0,15.0,19.0,0,0,0,0,0,0
2014,Slippery Rock University,29,16,10,6,18,9,1,1,145,122,37,35,1,1,391,239,25,38,0,18,29,0,5,2,536,361,75,64,1,2,0,0,5,4,35,39,3,3,104,115,34.666666666666664,38.333333333333336,1,2,0,23,0,0,0.0,11.5,4,5,105,117,0,0,26.25,23.4,0,0,0,0,0,0
2014,Edinboro University of Pennsylvania,21,22,5,7,15,14,1,1,106,96,32,29,2,0,321,271,19,33,1,25,47,0,2,1,427,367,65,76,1,2,0,1,7,7,85,65,4,6,163,172,40.75,28.666666666666668,0,2,0,17,0,0,0.0,8.5,3,6,32,102,0,0,10.666666666666666,17.0,0,1,0,0,0,0
2014,Seton Hill University,18,30,7,5,8,25,3,0,247,83,34,28,2,1,252,568,14,30,3,43,72,7,3,4,499,651,64,100,3,2,3,1,3,9,35,64,4,3,155,97,38.75,32.333333333333336,1,1,10,10,0,0,10.0,10.0,4,8,166,160,1,0,41.5,20.0,7,3,128,44,1,0
2014,California University of Pennsylvania,31,21,4,3,25,14,2,4,96,61,33,22,2,3,544,473,37,49,0,21,42,2,6,4,640,534,82,64,2,1,1,1,9,5,93,38,3,4,132,180,44.0,45.0,2,1,34,13,0,0,17.0,13.0,4,7,74,153,0,0,18.5,21.857142857142858,2,0,23,0,0,0
2014,Shippensburg University,18,29,2,8,16,17,0,4,64,116,25,37,0,1,409,341,26,38,1,31,56,3,5,2,473,457,63,93,1,1,1,0,12,3,114,25,5,5,210,158,42.0,31.6,1,1,29,14,0,0,29.0,14.0,3,7,49,174,0,0,16.333333333333332,24.857142857142858,3,1,131,0,1,0
2015,Bentley University,18,22,4,11,12,11,2,0,128,141,26,37,1,2,305,245,20,25,0,23,40,3,3,0,433,386,51,77,1,0,1,0,9,6,57,55,3,2,134,110,44.666666666666664,55.0,1,3,2,38,0,0,2.0,12.666666666666666,5,4,70,101,0,0,14.0,25.25,3,0,90,0,1,0
2015,West Chester University of Pennsylvania,24,21,9,9,14,10,1,2,122,177,37,38,2,3,332,272,20,42,1,12,27,1,3,2,454,449,79,65,4,0,1,0,6,11,55,92,4,5,162,138,40.5,27.6,0,3,0,19,0,0,0.0,6.333333333333333,5,7,89,164,0,0,17.8,23.428571428571427,1,1,1,0,0,0
2015,Bloomsburg University,15,19,5,11,9,6,1,2,70,227,25,48,0,2,222,107,16,35,1,13,29,2,3,0,292,334,60,77,1,0,0,0,5,6,43,54,8,6,326,270,40.75,45.0,0,5,0,19,0,0,0.0,3.8,3,1,82,7,0,0,27.333333333333332,7.0,2,1,11,26,0,0
