player,completions,attempts,passing_yards,passing_tds,interceptions,long_pass,sacks,year,opponent
"Cortopassi,Aus.",1,1,19,0,0,19,0,2022,Clarion University
"Carter, Joe",15,27,151,1,2,40,2,2022,Gannon University
"Alsobrooks, Bri",3,4,26,1,0,16,0,2022,Gannon University
"Alsobrooks,Brian",16,29,226,3,0,59,4,2022,California University of Pennsylvania
"Lowery,Michael",1,1,18,0,0,18,0,2022,California University of Pennsylvania
"Alsobrooks, Bri",18,37,162,0,1,31,8,2022,Seton Hill University
"Kerbacher, Joe",0,1,0,0,0,0,0,2022,Seton Hill University
"Alsobrooks,Brian",11,22,106,0,0,36,0,2022,Bloomsburg University
"Lowery,Michael",8,13,79,0,0,30,2,2022,Bloomsburg University
"Urena,Adam",28,33,313,5,0,26,0,2023,Lock Haven University
"Urena,Adam",24,45,279,2,1,35,4,2023,Kutztown University
"Urena,Adam",15,29,156,2,0,39,4,2023,RVIndiana University of Pennsylvania
"Urena,Adam",25,41,322,2,2,66,1,2023,Edinboro University of Pennsylvania
"Urena,Adam",21,33,197,1,2,26,0,2023,#10Slippery Rock University
"Urena,Adam",18,25,199,3,0,33,3,2023,Clarion University
"Urena,Adam",18,28,242,3,1,57,1,2023,Gannon University
"Urena, Adam",15,28,177,2,3,39,2,2023,California University of Pennsylvania
"Urena,Adam",16,33,172,0,2,29,4,2023,Seton Hill University
"Lippert,Austin",1,1,5,0,0,5,0,2023,Seton Hill University
"Urena,Adam",23,34,233,3,0,31,4,2024,Howard University
"Urena,Adam",27,41,204,2,1,25,3,2024,Robert Morris University
"Urena,Adam",28,44,213,1,0,26,6,2024,Montana State University
"Urena,Adam",18,23,229,2,0,35,2,2024,Frostburg State University
"Urena,Adam",26,36,312,6,0,41,1,2024,Buffalo State
"Gevaudan,Alex",2,2,51,1,0,42,0,2024,Buffalo State
"Urena,Adam",25,43,229,2,0,21,2,2024,Sacred Heart University
TEAM,0,1,0,0,0,0,0,2024,Sacred Heart University
"Urena,Adam",38,52,345,3,1,30,4,2024,Duquesne University
"Urena,Adam",16,18,215,6,0,61,1,2024,Lincoln University
"Gevaudan,Alex",1,4,29,1,0,29,0,2024,Lincoln University
"Kim,Austin",1,2,4,0,0,4,0,2024,Lincoln University
"Urena,Adam",21,33,240,2,0,46,1,2024,Saint Francis University
"Urena,Adam",32,48,311,2,2,27,2,2025,RVYoungstown State
"Urena,Adam",21,27,349,2,0,35,0,2025,New Haven
"Gevaudan,Alex",5,6,30,0,1,20,0,2025,New Haven
"Black,Braydon",0,1,0,0,0,0,0,2025,New Haven
"Urena,Adam",27,44,280,2,2,24,3,2025,#21Sacramento State
"Gevaudan,Alex",0,1,0,0,0,0,0,2025,#21Sacramento State
"Urena,Adam",23,35,206,0,1,37,2,2025,#4/5Montana State
"Gevaudan,Alex",1,1,-1,0,0,0,0,2025,#4/5Montana State
"Urena,Adam",12,18,103,1,2,22,3,2025,#2South Dakota State
"Gevaudan,Alex",1,1,10,0,0,10,0,2025,#2South Dakota State
"Kerbacher,Joe",0,1,0,0,0,0,0,2025,#2South Dakota State
"Urena,Adam",24,31,191,1,1,20,5,2025,LIU
"Gevaudan,Alex",13,24,191,1,0,76,0,2025,Wagner
"Urena,Adam",10,29,83,0,0,16,4,2025,Duquesne
"Gevaudan,Alex",4,6,23,0,0,14,0,2025,Duquesne
"Trobel,Brian",0,1,0,0,0,0,0,2025,Duquesne
"Urena,Adam",30,43,261,2,1,22,0,2025,Stonehill
"Urena,Adam",22,32,234,1,0,53,2,2025,Saint Francis
"Urena,Adam",19,27,206,1,1,27,3,2025,Robert Morris
"Urena,Adam",17,36,188,1,0,31,1,2025,Central Connecticut State
