player,solo_tkl,ast_tkl,tot_tkl,tfl,tfl_yards,sacks,sack_yards,FF,FR,FR_yards,interceptions,pbu,blks,QBH,year,opponent
Colin Kimball,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,California University of Pennsylvania
Chris Lyle,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,California University of Pennsylvania
Joe Dever,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Garrett Wild,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Curtis Hansford,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Kevin Poropat,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,California University of Pennsylvania
Aaron McGee,4,3,7,0,0,0,0,0,0,0,1-0,1,0,0,2012,East Stroudsburg University
Pat Behm,3,4,7,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Dustin Galich,3,4,7,0.5,5,0.5,5,0,0,0,0,1,0,0,2012,East Stroudsburg University
Keith Polson,1,5,6,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Matt Hyland,2,4,6,1.0,4,1.0,4,0,0,0,0,0,0,0,2012,East Stroudsburg University
L.J. Stevens,4,1,5,0,0,0,0,0,0,0,0,1,0,0,2012,East Stroudsburg University
Serge Augustin,1,4,5,1.5,6,1.5,6,0,0,0,0,0,0,0,2012,East Stroudsburg University
Nick Jackson,2,2,4,0,0,0,0,0,0,0,1-2,0,0,0,2012,East Stroudsburg University
Michael Foster,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Bobby Haraczy,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Deonte Huggins,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Mike Brown,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
Todd Wingate,3,0,3,0,0,0,0,0,0,0,0,1,0,0,2012,East Stroudsburg University
Vladmir Rock,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
L. Robinson,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2012,East Stroudsburg University
