date,opponent,Solo,aST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
2021-10-30,Clarion,39,28,67,9.0,20,2.0,8,2,1,0,5,84,2,6,0,0
2021-11-06,Gannon,35,32,67,6.0,30,3.0,27,1,0,0,3,47,0,7,0,0
2021-11-13,Shippensburg,50,18,68,2.0,12,1.0,3,1,2,0,0,0,0,0,0,0
2022-09-03,Alderson Broaddus,53,0,53,6.0,23,3.0,18,3,3,0,4,58,0,2,0,0
2022-09-10,Lock Haven,55,10,65,7.0,22,1.0,14,0,0,0,3,49,2,0,1,0
2022-09-17,Kutztown,35,22,57,2.0,13,0,0,1,1,5,1,0,0,0,0,0
2022-09-24,Indiana (PA),43,36,79,1.0,3,0,0,0,0,0,2,16,0,0,0,0
2022-10-01,Edinboro,32,42,74,7.0,25,4.0,18,0,0,0,0,0,0,6,1,0
2022-10-08,Slippery Rock,42,40,82,2.0,7,1.0,6,1,1,0,1,15,2,0,0,0
2022-10-15,Clarion,34,28,62,4.0,15,1.0,7,0,0,0,0,0,0,2,0,0
2022-10-22,Gannon,40,32,72,6.0,14,0,0,0,0,0,0,0,1,0,0,0
2022-10-29,Cal U (PA),46,32,78,4.0,24,2.0,18,0,0,0,0,0,0,2,0,0
2022-11-05,Seton Hill,51,14,65,14.0,56,3.0,22,2,1,37,0,0,0,2,0,0
2022-11-14,Bloomsburg,34,38,72,5.0,17,1.0,6,3,2,0,0,0,0,3,0,0
2023-08-31,Ferris St.,30,20,50,0,0,0,0,2,2,0,0,0,0,0,0,0
2023-09-09,Lock Haven,38,16,54,3.0,18,2.0,17,0,0,0,1,20,0,6,0,0
2023-09-16,Kutztown,29,44,73,0,0,0,0,0,1,0,0,0,5,0,0,0
2023-09-23,Indiana (PA),30,52,82,4.0,16,1.0,8,0,0,0,0,0,0,3,0,0
2023-09-30,Edinboro,29,48,77,2.0,8,1.0,6,0,0,0,0,0,1,1,0,0
2023-10-07,Slippery Rock,29,20,49,0,0,0,0,0,0,0,0,0,0,3,0,0
